candidate,architecture,candidate_type,relu_number,relu_points,torchvision_feature_index,pretrained,normalize_features,mode,subset,score,score_percent
vgg11_relu1,vgg11,single_relu,1.0,[1],1,True,True,2afc,val/traditional,0.5933898334438771,59.33898334438771
vgg11_relu2,vgg11,single_relu,2.0,[2],4,True,True,2afc,val/traditional,0.6245339014709501,62.453390147095014
vgg11_relu4,vgg11,single_relu,4.0,[4],9,True,True,2afc,val/traditional,0.6666101728360784,66.66101728360783
vgg11_relu8,vgg11,single_relu,8.0,[8],19,True,True,2afc,val/traditional,0.7613135635158268,76.13135635158268
vgg11_multi_relu1_2_4_8,vgg11,multi_relu_mean,,"[1, 2, 4, 8]","[1, 4, 9, 19]",True,True,2afc,val/traditional,0.643686443942962,64.3686443942962
vgg11_relu1,vgg11,single_relu,1.0,[1],1,True,True,2afc,val/cnn,0.8154872918501497,81.54872918501496
vgg11_relu2,vgg11,single_relu,2.0,[2],4,True,True,2afc,val/cnn,0.8192584784259483,81.92584784259483
vgg11_relu4,vgg11,single_relu,4.0,[4],9,True,True,2afc,val/cnn,0.8029872917333397,80.29872917333397
vgg11_relu8,vgg11,single_relu,8.0,[8],19,True,True,2afc,val/cnn,0.8142161054220998,81.42161054220998
vgg11_multi_relu1_2_4_8,vgg11,multi_relu_mean,,"[1, 2, 4, 8]","[1, 4, 9, 19]",True,True,2afc,val/cnn,0.8241737327238513,82.41737327238513
vgg11_relu1,vgg11,single_relu,1.0,[1],1,True,True,2afc,val/color,0.6141525484716236,61.41525484716236
vgg11_relu2,vgg11,single_relu,2.0,[2],4,True,True,2afc,val/color,0.6061440737570747,60.61440737570747
vgg11_relu4,vgg11,single_relu,4.0,[4],9,True,True,2afc,val/color,0.5769915308456047,57.69915308456047
vgg11_relu8,vgg11,single_relu,8.0,[8],19,True,True,2afc,val/color,0.6200423787868882,62.00423787868882
vgg11_multi_relu1_2_4_8,vgg11,multi_relu_mean,,"[1, 2, 4, 8]","[1, 4, 9, 19]",True,True,2afc,val/color,0.6173305147311697,61.73305147311697
vgg11_relu1,vgg11,single_relu,1.0,[1],1,True,True,jnd,val/traditional,0.3826529625410269,38.26529625410269
vgg11_relu2,vgg11,single_relu,2.0,[2],4,True,True,jnd,val/traditional,0.40822753517041843,40.822753517041846
vgg11_relu4,vgg11,single_relu,4.0,[4],9,True,True,jnd,val/traditional,0.4451490133544256,44.51490133544256
vgg11_relu8,vgg11,single_relu,8.0,[8],19,True,True,jnd,val/traditional,0.56010721215157,56.010721215157
vgg11_multi_relu1_2_4_8,vgg11,multi_relu_mean,,"[1, 2, 4, 8]","[1, 4, 9, 19]",True,True,jnd,val/traditional,0.4261597499877756,42.61597499877756
vgg11_relu1,vgg11,single_relu,1.0,[1],1,True,True,jnd,val/cnn,0.6546246607295247,65.46246607295248
vgg11_relu2,vgg11,single_relu,2.0,[2],4,True,True,jnd,val/cnn,0.6696275221582791,66.96275221582792
vgg11_relu4,vgg11,single_relu,4.0,[4],9,True,True,jnd,val/cnn,0.6641780851428462,66.41780851428462
vgg11_relu8,vgg11,single_relu,8.0,[8],19,True,True,jnd,val/cnn,0.667092310120821,66.7092310120821
vgg11_multi_relu1_2_4_8,vgg11,multi_relu_mean,,"[1, 2, 4, 8]","[1, 4, 9, 19]",True,True,jnd,val/cnn,0.6773200479589104,67.73200479589104
vgg16_relu2,vgg16,single_relu,2.0,[2],3,True,True,2afc,val/traditional,0.6054237318272561,60.542373182725605
vgg16_relu4,vgg16,single_relu,4.0,[4],8,True,True,2afc,val/traditional,0.6238559352486568,62.385593524865676
vgg16_relu7,vgg16,single_relu,7.0,[7],15,True,True,2afc,val/traditional,0.6669491560024731,66.69491560024731
vgg16_relu13,vgg16,single_relu,13.0,[13],29,True,True,2afc,val/traditional,0.7502966144769374,75.02966144769374
vgg16_multi_relu2_4_7_13,vgg16,multi_relu_mean,,"[2, 4, 7, 13]","[3, 8, 15, 29]",True,True,2afc,val/traditional,0.6445762744457539,64.4576274445754
vgg16_relu2,vgg16,single_relu,2.0,[2],3,True,True,2afc,val/cnn,0.8167161054909229,81.67161054909229
vgg16_relu4,vgg16,single_relu,4.0,[4],8,True,True,2afc,val/cnn,0.7918432238369675,79.18432238369675
vgg16_relu7,vgg16,single_relu,7.0,[7],15,True,True,2afc,val/cnn,0.7895550882222794,78.95550882222794
vgg16_relu13,vgg16,single_relu,13.0,[13],29,True,True,2afc,val/cnn,0.8031567833181155,80.31567833181154
vgg16_multi_relu2_4_7_13,vgg16,multi_relu_mean,,"[2, 4, 7, 13]","[3, 8, 15, 29]",True,True,2afc,val/cnn,0.8164194952791273,81.64194952791273
vgg16_relu2,vgg16,single_relu,2.0,[2],3,True,True,2afc,val/color,0.6064830568697998,60.648305686979974
vgg16_relu4,vgg16,single_relu,4.0,[4],8,True,True,2afc,val/color,0.5683050899466469,56.83050899466468
vgg16_relu7,vgg16,single_relu,7.0,[7],15,True,True,2afc,val/color,0.5618644117330343,56.18644117330342
vgg16_relu13,vgg16,single_relu,13.0,[13],29,True,True,2afc,val/color,0.6083898363982216,60.83898363982216
vgg16_multi_relu2_4_7_13,vgg16,multi_relu_mean,,"[2, 4, 7, 13]","[3, 8, 15, 29]",True,True,2afc,val/color,0.6012288194307583,60.12288194307583
vgg16_relu2,vgg16,single_relu,2.0,[2],3,True,True,jnd,val/traditional,0.3976562862640735,39.76562862640735
vgg16_relu4,vgg16,single_relu,4.0,[4],8,True,True,jnd,val/traditional,0.4039836240945314,40.39836240945314
vgg16_relu7,vgg16,single_relu,7.0,[7],15,True,True,jnd,val/traditional,0.4489079742728389,44.89079742728389
vgg16_relu13,vgg16,single_relu,13.0,[13],29,True,True,jnd,val/traditional,0.5618937323240308,56.189373232403085
vgg16_multi_relu2_4_7_13,vgg16,multi_relu_mean,,"[2, 4, 7, 13]","[3, 8, 15, 29]",True,True,jnd,val/traditional,0.4300159564151252,43.001595641512516
