candidate,architecture,candidate_type,relu_number,relu_points,torchvision_feature_index,pretrained,normalize_features,2afc_val_cnn,2afc_val_color,2afc_val_traditional,jnd_val_cnn,jnd_val_traditional,mean_2afc,mean_jnd,mean_all,mean_tonemapping_priority
vgg11_relu8,vgg11,single_relu,8.0,[8],19,True,True,81.42161054220998,62.00423787868882,76.13135635158268,66.7092310120821,56.010721215157,73.1857349241605,61.35997611361955,68.45543139994412,64.7154384818095
vgg16_relu13,vgg16,single_relu,13.0,[13],29,True,True,80.31567833181154,60.83898363982216,75.02966144769374,65.2598822104593,56.189373232403085,72.06144113977581,60.72462772143119,67.52671577243795,64.019339439973
vgg16_bn_relu13,vgg16_bn,single_relu,13.0,[13],42,True,True,80.74788172113693,59.483051411176135,75.30932246723165,66.26758624676286,56.567656096662546,71.84675186651491,61.4176211717127,67.67509958859402,63.786676658356775
vgg19_relu16,vgg19,single_relu,16.0,[16],35,True,True,80.02754273208774,60.491525983848305,74.40254279712246,65.02243973737248,55.391565404848784,71.6405371710195,60.207002571110635,67.06712333105597,63.42854472860652
vgg11_relu4,vgg11,single_relu,4.0,[4],9,True,True,80.29872917333397,57.69915308456047,66.66101728360783,66.41780851428462,44.51490133544256,68.21963318050076,55.46635492486359,63.11832187824589,56.29169056787028
vgg19_relu8,vgg19,single_relu,8.0,[8],17,True,True,78.8495766172596,56.39406828651742,66.87288169607015,65.3481070622937,45.10028615778484,67.37217553328239,55.22419661003927,62.51298396398514,56.1224120467908
vgg16_relu7,vgg16,single_relu,7.0,[7],15,True,True,78.95550882222794,56.18644117330342,66.69491560024731,65.3133472943611,44.89079742728389,67.2789551985929,55.10207236082249,62.40820206348474,55.92405140027821
vgg11_relu2,vgg11,single_relu,2.0,[2],4,True,True,81.92584784259483,60.61440737570747,62.453390147095014,66.96275221582792,40.822753517041846,68.3312151217991,53.89275286643488,62.55583021965342,54.63018367994812
vgg16_bn_relu7,vgg16_bn,single_relu,7.0,[7],22,True,True,78.31144101886174,54.512712347431716,64.88559355643594,65.26209399591288,42.68511141071365,65.90324897424313,53.97360270331326,61.131390465871185,54.027805771527106
vgg16_relu2,vgg16,single_relu,2.0,[2],3,True,True,81.67161054909229,60.648305686979974,60.542373182725605,66.58099914766804,39.76562862640735,67.62076313959929,53.17331388703769,61.84178343857466,53.6521024987043
vgg19_relu2,vgg19,single_relu,2.0,[2],3,True,True,81.58262749660318,59.987288719137844,60.42372911442387,66.59391310708247,39.875766247313365,67.33121511005497,53.23483967719792,61.69266493691215,53.42892802695835
vgg16_relu4,vgg16,single_relu,4.0,[4],8,True,True,79.18432238369675,56.83050899466468,62.385593524865676,65.9042122177376,40.39836240945314,66.13347496774237,53.15128731359537,60.94059990608357,53.204821642994496
vgg16_bn_relu2,vgg16_bn,single_relu,2.0,[2],5,True,True,81.66313597553615,60.88135652780785,59.3771189495416,65.14146964003092,39.17136322558101,67.30720381762853,52.15641643280597,61.246888863699496,53.14327956764348
vgg11_relu1,vgg11,single_relu,1.0,[1],1,True,True,81.54872918501496,61.41525484716236,59.33898334438771,65.46246607295248,38.26529625410269,67.43432245885502,51.86388116352758,61.20614594072405,53.006511481884246
vgg19_relu4,vgg19,single_relu,4.0,[4],8,True,True,78.98093255615588,56.75423780929739,61.80084776164869,65.69163884996722,39.64757776829927,65.84533937570065,52.669608309133245,60.57504694907368,52.73422111308179
vgg16_bn_relu4,vgg16_bn,single_relu,4.0,[4],12,True,True,79.16737323690016,56.364407292803975,61.41525453524822,65.39464264021157,39.28542808136113,65.64901168831744,52.34003536078635,60.325421157305,52.35502996980444
